No	GRDC_No	lat	lon	newlat	newlon	GRDCarea	area	UPS_Indicator	dist_Indicator	Indicator
3464	2969230	15.3233	103.6783	15.3258	103.67663333333333	34800.0	34603.09	0.565833782327585	3.3171071734268702	7.200048129181326
3465	2969231	15.3333	103.3833	15.331633333333333	103.37996666666668	28400.0	28274.29	0.4426441461267583	4.114365078599613	8.671374303325985
3466	2969232	15.4333	103.015	15.434966666666666	103.015	23200.0	24819.582	6.98095703124999	1.84	10.66095703124999
3467	2969233	14.7383	102.1683	14.737466666666668	102.20246666666667	4330.0	4261.413	1.5839933963625819	37.73121784411418	20.44960231841967
3468	2969234	15.0183	102.2867	15.0208	102.2817	7850.0	5305.156	32.418397939888536	6.17154761789942	44.76149317568738
3469	2969235	14.3767	102.2617	14.380033333333333	102.26003333333334	498.0	473.18198	4.983538891895711	4.114365078599613	13.212269049094939
3470	2969237	15.5483	103.0717	15.5483	103.0717	1094.0	1075.8514	1.6589176938128447	0.0	1.6589176938128447
3471	2969240	15.14	103.4333	15.14	103.42913333333334	4630.0	4738.9814	2.353810913876897	4.6000000000000005	11.553810913876898
3472	2969245	15.57	103.8233	15.57	103.82246666666667	3230.0	3342.4915	3.4827075875580427	0.92	5.3227075875580425
3473	2969248	15.6467	103.75	15.642533333333333	103.74666666666667	672.0	744.536	10.794049217587421	5.890874298438221	22.57579781446386
3474	2969250	15.1283	104.3367	15.131633333333333	104.33586666666666	2890.0	2932.9119	1.4848396274870224	3.793257175568248	9.071353978623518
3475	2969255	15.8383	104.46	15.8408	104.45833333333333	1654.0	1636.6543	1.0487124017533267	3.3171071734268702	7.682926748607067
3476	2969256	15.5033	104.9667	15.504133333333332	104.9667	2132.0	2224.75	4.350375234521575	0.92	6.190375234521575
3477	2969257	17.834389	102.693111	17.834389	102.693111	-999.0	0.0081447745	100.00081529274016	1000.0	350.0008152927402
3478	2969400	16.395	104.575	16.394166666666667	104.575	702.0	785.2385	11.857339799234335	0.92	13.697339799234335
3479	2969410	17.168995	104.055707	17.168995	104.05487366666667	-999.0	0.008174092	100.00081822738514	1000.92	350.23081822738516
3480	2969415	17.08	104.2567	17.077499999999997	104.2567	1070.0	835.24774	21.93946339259638	2.7600000000000002	27.45946339259638
3481	2969417	16.64	104.7033	16.639166666666668	104.70246666666667	1340.0	1316.3047	1.7683069029850729	1.3010764773832475	4.370459857751568
3482	2969420	17.8617	103.78	17.860033333333334	103.78	4650.0	5268.138	13.293294270833321	1.84	16.97329427083332
3483	2969425	17.265	102.5967	17.264166666666668	102.5967	436.0	412.88535	5.301526270875145	0.92	7.141526270875145
3484	2969430	17.8967	101.6683	17.90253333333333	101.66746666666667	292000.0	294997.56	1.0265624999999945	6.505382386916238	14.03732727383247
3485	2969435	17.4317	101.27	17.432533333333332	101.27	703.0	723.9362	2.9781249305432134	0.92	4.818124930543213
3486	2969437	17.285	101.1517	17.285833333333333	101.14836666666667	401.0	385.43915	3.8805117333619132	3.793257175568248	11.467026084498409
3487	2969439	18.989246	101.159529	18.990079333333334	101.159529	-999.0	0.008091232	100.00080993311391	1000.92	350.2308099331139
3488	2969440	19.1432	100.0683	19.219033333333332	99.99246666666666	3450.0	1756.0759	49.09924847146739	118.39795944187551	78.69873833193627
3489	2969441	19.255	99.847	19.258333333333333	99.842	479.37932106531866	500.8273	4.474114551376229	6.6342143468537405	17.74254324508371
3490	2969442	19.255	99.8467	19.258333333333333	99.8417	493.0	500.8273	1.5876878347648393	6.6342143468537405	14.85611652847232
3491	2969450	17.829	102.414	17.839000000000002	102.424	266.12973232550263	266.18295	0.019997974255514528	15.612917728598969	31.245833431453452
3492	2969451	14.982	102.199	14.982	102.199	-999.0	0.008262865	100.00082711363818	1000.0	350.0008271136382
3493	2969452	16.966	102.282	16.970166666666668	102.26866666666666	321.3434255451636	305.37573	4.969043040541187	15.422010245100994	35.81306353074318
3494	2969453	15.71	104.014	15.71	104.014	-999.0	0.008234613	100.00082428554992	1000.0	350.0008242855499
3495	2969460	17.2983	101.78	17.299966666666666	101.77583333333334	1240.0	1242.485	0.20040204448084076	4.954351622563744	10.109105289608328
3496	2969500	16.7188	104.63	16.7188	104.63	1220.0	1224.1893	0.3433877913678218	0.0	0.3433877913678218
3497	2969501	16.627245	104.737426	16.62807833333333	104.737426	-999.0	0.008197135	100.00082053406328	1000.92	350.23082053406324
3498	2969510	17.721	102.779	17.761833333333332	102.84566666666666	1494.1835793383166	849.6739	43.13457188865472	86.30855345792791	64.7117102531367
3499	2969520	15.682	105.083	15.682	105.083	-999.0	0.008235745	100.00082439891212	1000.0	350.00082439891213
3500	2969550	15.183	105.366	15.1705	105.39683333333333	2055.914364789228	2032.5859	1.134698394483935	36.73093519092592	19.500165989946893
3501	2997110	64.8	74.05	64.92583333333333	73.92999999999999	13500.0	13897.191	2.942158564814812	191.96280056302575	50.93285870557125
3502	2997115	67.0	78.22	67.01666666666667	78.20333333333333	95100.0	94161.3	0.987069532071505	26.02152954766495	13.99783430590398
3503	2997120	65.97	78.35	65.97583333333333	78.34833333333333	80400.0	79676.414	0.8999825093283564	6.697701098138077	14.29538470560451
3504	2997200	65.62	72.67	65.60583333333334	72.655	48000.0	47989.86	0.021126302083329662	22.778129861777504	45.57738602563834
3505	2997210	65.8	74.5	65.84416666666667	74.45666666666666	1200.0	1234.7252	2.8937683105468848	68.30961279351538	37.048574707304574
3506	2997250	66.6	82.28	66.60833333333333	82.27583333333334	100000.0	112725.125	12.725125000000004	10.285912696499034	33.29695039299807
3507	2997251	66.0	82.17	65.99583333333334	82.16833333333334	89100.0	101410.38	13.816366792929301	4.954351622563744	23.72507003805679
3508	2997252	65.75	82.25	65.76166666666667	82.29166666666667	87200.0	98226.336	12.644880662270651	47.76917834754959	36.52946983604545
3509	2997253	63.58	83.85	63.57583333333333	83.85	13600.0	13809.671	1.5416977826286704	4.6000000000000005	10.741697782628671
3510	2997510	64.93	77.8	64.93583333333333	77.7975	31400.0	30683.926	2.280491142515928	7.006511257394796	16.29351365730552
3511	2997515	64.28	78.1	64.27	78.10499999999999	4330.0	3797.1497	12.306012512629906	12.34309523579884	36.99220298422759
3512	2997517	63.38	78.3	63.37666666666667	78.29833333333333	6600.0	6040.118	8.483058120265152	4.114365078599613	16.71178827746438
3513	2997520	65.98	84.27	65.985	84.32083333333333	10100.0	10157.117	0.565516707920799	56.3908219482568	28.7609276820492
3514	2997525	66.82	83.8	66.8025	83.8025	1430.0	1487.9727	4.054031905594413	19.516147160748712	43.08632622709184
3515	2997580	69.42	88.32	69.41083333333333	88.32	19800.0	19535.17	1.3375256470959607	10.120000000000001	21.577525647095964
3516	2997585	69.5	88.2	69.53166666666667	88.15916666666666	38.2	39.05515	2.238610152798781	57.047418872373186	30.762319588985374
3517	2997586	69.4	87.78	69.39916666666667	87.78833333333334	97.0	94.76669	2.3023782317171393	9.24588557143122	20.79414937457958
3518	2997587	69.4	87.78	69.39666666666668	87.78	243.0	284.4535	17.05904988104423	3.68	24.41904988104423
3519	2998200	62.63	155.9	62.63	155.90916666666666	5880.0	5992.436	1.9121774686437165	10.120000000000001	22.152177468643718
3520	2998220	62.5	155.78	62.5025	155.77666666666667	1720.0	1685.8573	1.985040709029795	4.6000000000000005	11.185040709029796
3521	2998250	64.37	157.3	64.37916666666668	157.31416666666667	7670.0	7464.6367	2.6774873696219004	18.62858019281126	39.93464775524442
3522	2998300	65.4	151.07	65.405	151.07	32000.0	37297.574	16.554919433593753	5.5200000000000005	27.594919433593752
3523	2998310	63.27	152.07	63.265	152.06833333333333	2920.0	2928.0127	0.2744073737157571	5.818590894709819	11.911589163135394
3524	2998311	63.27	152.07	63.26666666666667	152.07666666666665	15.6	14.569143	6.608055799435341	8.228730157199227	23.065516113833795
3525	2998315	63.28	151.4	63.2775	151.4	218.0	213.6498	1.995506636593325	2.7600000000000002	7.515506636593326
3526	2998320	62.72	150.82	62.72333333333333	150.8225	9970.0	10058.801	0.8906798520561754	4.6000000000000005	10.090679852056176
3527	2998325	63.3	149.07	63.309999999999995	149.07083333333333	909.0	906.24884	0.3026578292594895	11.078267012488913	22.459191854237318
3528	2998327	62.82	149.77	62.82666666666667	149.76500000000001	156.0	156.48744	0.3124628311548472	9.200000000000001	18.71246283115485
3529	2998328	62.62	150.33	62.62166666666666	150.33	246.0	313.58752	27.47460342035062	1.84	31.154603420350618
3530	2998330	62.48	149.72	62.47833333333333	149.72	3460.0	3374.452	2.4724883151192145	1.84	6.152488315119214
3531	2998331	62.88	148.93	62.892500000000005	148.93583333333333	1160.0	1171.4818	0.9898113382273754	15.2287097286671	31.447230795561577
3532	2998332	62.53	149.67	62.541666666666664	149.6508333333333	100.0	93.875404	6.124595642089847	24.77175811281872	18.51047469849921
3533	2998340	63.1	148.0	63.10916666666667	148.0	4980.0	5018.622	0.7755435805722799	10.120000000000001	21.01554358057228
3534	2998343	62.95	147.2	62.95583333333334	147.19	166.0	163.58514	1.4547325042356896	12.78104847029382	27.01682944482333
3535	2998345	62.85	148.48	62.847500000000004	148.48666666666665	932.0	923.4607	0.9162346180928149	7.860483445692128	16.63720150947707
3536	2998346	62.85	148.48	62.84916666666667	148.48416666666665	135.0	131.17972	2.829838505497684	4.691097952505362	12.212034410508407
